X		2	3	4	5	6	7	8	9	10	A
21		R	R	R	R	R	R	R	R	R	R
20		R	R	R	R	R	R	R	R	R	R
19		R	R	R	R	R	R	R	R	R	R
18		R	R	R	R	R	R	R	R	R	R
17		R	R	R	R	R	R	R	R	R	A/t
16 		R	R	R	R	R	T	T	A/t	A/t	A/t
15 		R	R	R	R	R	T	T	T	A/t	A/t
14 		R	R	R	R	R	T	T	T	A/t	A/t
13 		R	R	R	R	R	T	T	T	T	A/t
12 		T	T	R	R	R	T	T	T	T	A/t
11		D	D	D	D	D	D	D	D	T	T
10		D	D	D	D	D	D	D	D	T	T
9		T	D	D	D	D	T	T	T	T	T
8		T	T	T	T	T	T	T	T	T	T
7		T	T	T	T	T	T	T	T	T	A/t
6		T	T	T	T	T	T	T	T	T	A/t
5		T	T	T	T	T	T	T	T	T	A/t
A,A		P	P	P	P	P	P	P	P	P	T
10,10	R	R	R	R	R	R	R	R	R	R
9,9		P	P	P	P	P	R	P	P	R	R
8,8		P	P	P	P	P	P	P	P	A/t	A/t
7,7		P	P	P	P	P	P	T	T	A/t	A/t
6,6		P	P	P	P	P	T	T	T	T	A/t
5,5		D	D	D	D	D	D	D	D	T	T
4,4		T	T	T	P	P	T	T	T	T	T
3,3		P	P	P	P	P	P	T	T	T	A/t
2,2		P	P	P	P	P	P	T	T	T	T
A10		R	R	R	R	R	R	R	R	R	R
A9		R	R	R	R	R	R	R	R	R	R
A8		R	R	R	R	R	R	R	R	R	R
A7		R	D	D	D	D	R	R	T	T	T
A6		T	D	D	D	D	T	T	T	T	T
A5		T	T	D	D	D	T	T	T	T	T
A4		T	T	D	D	D	T	T	T	T	T
A3		T	T	T	D	D	T	T	T	T	T
A2		T	T	T	D	D	T	T	T	T	T
